Name,Distance,Latitude_Range,Longitude_Range
Poulet ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Tiong Bahru Bakery ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
NamNam ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
A,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Brotzeit ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
MilkFish ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
McDonald's ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Lee Wee & Brothers ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Xing Ji Big Prawn Noodle ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
KOI Thé Express ,2.4,1.3147216216216215 to 1.2714783783783783,103.93214373216652 to 103.77485626783347
Awfully Chocolate ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
XW Western Grill ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Simply Wrapps ,2.3,1.3138207207207206 to 1.2723792792792792,103.92886690999292 to 103.77813309000707
Rive Gauche ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Sushi Tei ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Old Chang Kee ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
PS.Cafe ,2.5,1.3156225225225224 to 1.2705774774774774,103.93542055434013 to 103.77157944565987
XW Western Grill ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Sushi Tei ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Wine Connection ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Osaka Ohsho ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Cedele ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Yu Ba Fang ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Royce' ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Hong Kong Sheng Kee Dessert ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Osaka Ohsho ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
The Providore ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Mr. Coconut ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
The Soup Spoon ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Green Signature ,1.9,1.310217117117117 to 1.2759828828828828,103.91575962129849 to 103.7912403787015
Subway ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
MOS Burger ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
The Soup Spoon ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Boost Juice Bars ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Tokyo Sundubu ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Breadtalk ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
O'Coffee Club ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Soi Thai Soi Nice ,1.4,1.3057126126126126 to 1.2804873873873872,103.89937551043047 to 103.80762448956952
The Coffee Academics ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Tokyo Milk Cheese Factory ,1.5,1.3066135135135135 to 1.2795864864864863,103.90265233260408 to 103.80434766739592
The Coffee Academics ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Eureka Popcorn ,1.1,1.3030099099099097 to 1.28319009009009,103.88954504390965 to 103.81745495609034
Da Paolo Gastronomia ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Hang Heung ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
The Coffee Bean & Tea Leaf ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Tenjin ,1.0,1.3021090090090088 to 1.284090990990991,103.88626822173605 to 103.82073177826395
Bee Cheng Hiang ,1.3,1.3048117117117117 to 1.281388288288288,103.89609868825687 to 103.81090131174312
Men House Yamamoto,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
So Pho ,3.1,1.3210279279279278 to 1.265172072072072,103.95508148738176 to 103.75191851261823
Teuscher Chocolates (estd. 1932) ,1.3,1.3048117117117117 to 1.281388288288288,103.89609868825687 to 103.81090131174312
Gong Yuan Ma La Tang ,0.9,1.301208108108108 to 1.284991891891892,103.88299139956244 to 103.82400860043755
Flippin' Good Burgers ,1.2,1.3039108108108106 to 1.2822891891891892,103.89282186608325 to 103.81417813391674
Ichiban Boshi ,2.7,1.3174243243243242 to 1.2687756756756756,103.94197419868733 to 103.76502580131266
Ichiban Boshi ,2.7,1.3174243243243242 to 1.2687756756756756,103.94197419868733 to 103.76502580131266
Haakon Superfoods & Juice ,1.3,1.3048117117117117 to 1.281388288288288,103.89609868825687 to 103.81090131174312
Tiong Bahru Bakery ,3.4,1.3237306306306305 to 1.2624693693693694,103.96491195390257 to 103.74208804609742
Authentic Hock Lam Beef Noodles ,1.4,1.3057126126126126 to 1.2804873873873872,103.89937551043047 to 103.80762448956952
Pho Street ,1.6,1.3075144144144144 to 1.2786855855855854,103.90592915477768 to 103.80107084522231
Tiong Bahru Bakery ,3.4,1.3237306306306305 to 1.2624693693693694,103.96491195390257 to 103.74208804609742
Authentic Hock Lam Beef Noodles ,1.4,1.3057126126126126 to 1.2804873873873872,103.89937551043047 to 103.80762448956952
Pho Street ,1.6,1.3075144144144144 to 1.2786855855855854,103.90592915477768 to 103.80107084522231
Pho Stop ,2.6,1.3165234234234233 to 1.2696765765765765,103.93869737651373 to 103.76830262348626
The Kind Bowl ,2.6,1.3165234234234233 to 1.2696765765765765,103.93869737651373 to 103.76830262348626
Vietnamese Delights Pho 99 ,2.1,1.3120189189189189 to 1.274181081081081,103.9223132656457 to 103.7846867343543
Swensen's ,8.0,1.365172072072072 to 1.221027927927928,104.1156457738884 to 103.59135422611159
Sakunthala's Restaurant ,5.4,1.3417486486486485 to 1.2444513513513513,104.03044839737467 to 103.67655160262532
Stuff'd ,0.5,1.2976045045045044 to 1.2885954954954955,103.86988411086803 to 103.83711588913197
